"Gran_Grupo","Causa","Motivacion","Suma_Hectareas","Num_Incendios"
"Accidentes y fallos técnicos","[302]  Caza (cartuchos, cañones de redes, etc)","Sin especificar",2.65,2
"Accidentes y fallos técnicos","[310]  Otras causas por ferrocarril","Sin especificar",0.62,2
"Accidentes y fallos técnicos","[311]  Ferrocarril (provocado por el convoy)","Sin especificar",302.12,7
"Accidentes y fallos técnicos","[312]  Ferrocarril (Catenaria)","Sin especificar",0.2,1
"Accidentes y fallos técnicos","[320]  Otras causas por líneas eléctricas","Sin especificar",1844.3297,47
"Accidentes y fallos técnicos","[321]  Caída de torreta","Sin especificar",0.8799999999999999,2
"Accidentes y fallos técnicos","[322]  Rotura de tendido eléctrico","Sin especificar",1674.1194,108
"Accidentes y fallos técnicos","[323]  Impactos o contactos con fauna","Sin especificar",126.4859,43
"Accidentes y fallos técnicos","[324]  Impactos o contactos con vegetación","Sin especificar",1826.6535999999999,68
"Accidentes y fallos técnicos","[325]  Impactos o contactos con otros elementos (vehículos, personas, etc)","Sin especificar",382.82,4
"Accidentes y fallos técnicos","[326]  Transformadores de la red eléctrica","Sin especificar",211.39,18
"Accidentes y fallos técnicos","[330]  Otro tipo de motores o maquinaria (sin especificar)","Sin especificar",92.119,29
"Accidentes y fallos técnicos","[331]  Maquinaria (cosechadoras)","Sin especificar",506.6064,56
"Accidentes y fallos técnicos","[332]  Maquinaria (Empacadoras)","Sin especificar",31.43,1
"Accidentes y fallos técnicos","[333]  Maquinaria (autocargador/cosechadora forestal)","Sin especificar",1.77,2
"Accidentes y fallos técnicos","[334]  Escapes de vehículos (ligeros y pesados)","Sin especificar",254.66,55
"Accidentes y fallos técnicos","[335]  Quema intencionada de vehículos (delincuencia, vandalismo)","Sin especificar",12.06,2
"Accidentes y fallos técnicos","[336]  Accidentes de vehículos (incendios fortuitos, accidentes de tráfico, etc.)","Sin especificar",1181.437,64
"Accidentes y fallos técnicos","[337]  Transformadores/generadores eléctricos (portátiles)","Sin especificar",446.99,15
"Accidentes y fallos técnicos","[340]  Otras causas en actividades militares","Sin especificar",37.97,3
"Accidentes y fallos técnicos","[341]  Desarrollos de maniobras en campos de tiro","Sin especificar",47.6402,5
"Accidentes y fallos técnicos","[350]  Herramientas mecánicas (otras)","Sin especificar",361.59,15
"Accidentes y fallos técnicos","[351]  Herramientas mecánicas (Desbrozadoras/astilladora)","Sin especificar",45.853,18
"Accidentes y fallos técnicos","[353]  Herramientas mecánicas (Enfardadora)","Sin especificar",1e-4,1
"Accidentes y fallos técnicos","[354]  Herramientas mecánicas (Segadoras)","Sin especificar",0.98,1
"Accidentes y fallos técnicos","[355]  Herramientas mecánicas (bombas y motores de riego)","Sin especificar",0.18,1
"Accidentes y fallos técnicos","[356]  Herramientas mecánicas otras (conocidas)","Sin especificar",52.44,1
"Accidentes y fallos técnicos","[361]  Herramientas manuales (Radial/Amoladora)","Sin especificar",270.6939,33
"Accidentes y fallos técnicos","[362]  Herramientas manuales (Soldadura)","Sin especificar",17.2708,10
"Accidentes y fallos técnicos","[363]  Herramientas manuales (Desbrozadora)","Sin especificar",61.71,9
"Accidentes y fallos técnicos","[364]  Herramientas manuales (Motosierras)","Sin especificar",0.66,2
"Accidentes y fallos técnicos","[370]  Escape de otras quemas controladas (conocidas)","Sin especificar",0.01,1
"Accidentes y fallos técnicos","[371]  Escape de quema controlada en trabajos preventivos","Sin especificar",2.44,3
"Accidentes y fallos técnicos","[372]  Escape de quema controlada para limpieza y regeneración de fincas ganaderas","Sin especificar",0.26,1
"Accidentes y fallos técnicos","[399]  Otras causas no intencionales (conocidas)","Sin especificar",8681.4547,39
"Causa Desconocida","[500]  Desconocida","Sin especificar",1654.1217,855
"Intencionados","[400]  Intencionado","[400]  Motivación desconocida",34126.1694,949
"Intencionados","[400]  Intencionado","[401]  Incendios causados por quemas realizadas en  el desempeño de prácticas agrícolas que se dejan arder incontroladamente y pasan al monte o bien directamente son iniciados en terreno forestal.",275.7476,189
"Intencionados","[400]  Intencionado","[402]  Incendios causados por quemas realizadas en  el desempeño de prácticas ganaderas que se dejan arder incontroladamente y pasan al monte o bien directamente son iniciados en terreno forestal.",726.0181,143
"Intencionados","[400]  Intencionado","[403]  Incendios provocados en terrenos forestales  para control de animales (conejos, lobos, jabalíes, plagas etc.) que causan daños en los cultivos , ganados aprovechamientos forestales, etc",73.8835,45
"Intencionados","[400]  Intencionado","[404]  Incendios provocados para eliminar vegetación de montes en explotaciones forestales (castañares, robledales, choperas, etc)",6.712,18
"Intencionados","[400]  Intencionado","[405]  Incendios provocados para mantener libre de vegetación el monte, bajo un concepto tradicional del paisaje, sin pretender otro beneficio",9.92,11
"Intencionados","[400]  Intencionado","[411]  Incendios provocados para facilitar o favorecer la caza",1946.7957,85
"Intencionados","[400]  Intencionado","[412]  Incendios provocados por conflictos cinegéticos",354.43,28
"Intencionados","[400]  Intencionado","[431]  Incendios provocados por disensiones o disputas en cuanto a la titularidad de los montes públicos o privados",3.33,1
"Intencionados","[400]  Intencionado","[432]  Incendios provocados para obtener la modificación del uso del suelo",51.19,14
"Intencionados","[400]  Intencionado","[433]  Incendios provocados para modificar la linde de la propiedad",2.24,3
"Intencionados","[400]  Intencionado","[434]  Incendios provocados para eliminar vegetación forestal en lindes",5.1934,16
"Intencionados","[400]  Intencionado","[443]  Incendios provocados para forzar la resolución de Consorcios o Convenios",1.3193000000000001,2
"Intencionados","[400]  Intencionado","[444]  Incendios provocados para favorecer la producción de productos del monte (setas, etc.)",3.86,5
"Intencionados","[400]  Intencionado","[451]  Incendios provocados para crear malestar y alarma social",94.22999999999999,3
"Intencionados","[400]  Intencionado","[453]  Incendios provocados por rechazo a la creación o existencia de Espacios Naturales Protegidos",82.12,12
"Intencionados","[400]  Intencionado","[461]  Incendios provocados por represalia al reducirse las inversiones públicas en los montes",0.01,1
"Intencionados","[400]  Intencionado","[462]  Incendios provocados por resentimiento contra expropiaciones",2.5,1
"Intencionados","[400]  Intencionado","[463]  Incendios provocados como represalia por multas impuestas",163.2702,4
"Intencionados","[400]  Intencionado","[464]  Incendios provocados por venganzas",2896.5670999999998,73
"Intencionados","[400]  Intencionado","[471]  Incendios provocados para distraer a la Guardia Civil o la Policía",213.65970000000002,25
"Intencionados","[400]  Intencionado","[472]  Incendios provocados para reclamar la presencia de policía o Guardia Civil  o llamar la atención de autoridades sobre un problema (zonas con prostitución, drogadicción, etc)",0.1,1
"Intencionados","[400]  Intencionado","[481]  Incendios provocados para contemplar las labores de extinción",7,2
"Intencionados","[400]  Intencionado","[482]  Incendios provocados por vandalismo (gamberradas,etc)",1499.744,283
"Intencionados","[400]  Intencionado","[483]  Incendios provocados por enfermos mentales (pirómanos y otras)",104.5088,49
"Intencionados","[400]  Intencionado","[484]  Incendios provocados en ritos pseudoreligiosos o satánicos",0.2,1
"Intencionados","[400]  Intencionado","[499]  Otras motivaciones (conocidas)",101.4783,51
"Negligencias","[210]  Otras quemas agrícolas","Sin especificar",35.9864,51
"Negligencias","[211]  Quema agrícola (quema de rastrojos)","Sin especificar",278.7385,182
"Negligencias","[212]  Quema de restos de poda","Sin especificar",2584.6683,297
"Negligencias","[213]  Quema de restos agrícolas (viñas,etc)","Sin especificar",8.05,12
"Negligencias","[214]  Quema de restos horto-frutícolas","Sin especificar",48.7466,23
"Negligencias","[216]  Quema para limpieza de fincas (excepto rastrojos)","Sin especificar",43.0531,59
"Negligencias","[220]  Otras quemas ganaderas","Sin especificar",0.75,3
"Negligencias","[221]  Quema de matorral","Sin especificar",21.1828,14
"Negligencias","[222]  Quema de herbáceas","Sin especificar",7.256,13
"Negligencias","[230]  Otras quemas en trabajos forestales (conocidas)","Sin especificar",1234.9696000000001,56
"Negligencias","[231]  Quemas de eliminación de restos forestales","Sin especificar",560.6458,132
"Negligencias","[240]  Otros tipos de hogueras (conocidas)","Sin especificar",29.5666,24
"Negligencias","[241]  Hogueras","Sin especificar",740.1184000000001,92
