"Año","Mes","Superficie_Total_Forestal","Mes_Nombre"
"2015",1,12.9,"Enero"
"2015",2,26.09,"Febrero"
"2015",3,56.45,"Marzo"
"2015",4,14.94,"Abril"
"2015",5,213.5,"Mayo"
"2015",6,513.55,"Junio"
"2015",7,12601,"Julio"
"2015",8,482.37,"Agosto"
"2015",9,271.58,"Septiembre"
"2015",10,11.4,"Octubre"
"2015",11,12.15,"Noviembre"
"2015",12,14.61,"Diciembre"
"2016",1,1.94,"Enero"
"2016",2,187.35999999999999,"Febrero"
"2016",3,44.88,"Marzo"
"2016",4,12.11,"Abril"
"2016",5,206.2,"Mayo"
"2016",6,350.97,"Junio"
"2016",7,1102.17,"Julio"
"2016",8,2370.43,"Agosto"
"2016",9,236.37,"Septiembre"
"2016",10,67.86,"Octubre"
"2016",11,14.530000000000001,"Noviembre"
"2016",12,4.38,"Diciembre"
"2017",1,9.27,"Enero"
"2017",2,3.75,"Febrero"
"2017",3,31.6094,"Marzo"
"2017",4,48.9101,"Abril"
"2017",5,121.403,"Mayo"
"2017",6,9187.3785,"Junio"
"2017",7,1841.0909,"Julio"
"2017",8,1504.1258,"Agosto"
"2017",9,5626.4348,"Septiembre"
"2017",10,126.382,"Octubre"
"2017",11,25.6,"Noviembre"
"2017",12,138.036,"Diciembre"
"2018",1,15.811300000000001,"Enero"
"2018",2,21.1697,"Febrero"
"2018",3,12.5558,"Marzo"
"2018",4,193.89849999999998,"Abril"
"2018",5,19.842,"Mayo"
"2018",6,111.4631,"Junio"
"2018",7,709.3265,"Julio"
"2018",8,2456.34,"Agosto"
"2018",9,102.3368,"Septiembre"
"2018",10,59.4489,"Octubre"
"2018",11,0.245,"Noviembre"
"2018",12,1.75,"Diciembre"
"2019",1,23.669999999999998,"Enero"
"2019",2,15.0069,"Febrero"
"2019",3,80.162,"Marzo"
"2019",4,51.2602,"Abril"
"2019",5,297.0323,"Mayo"
"2019",6,2026.4313,"Junio"
"2019",7,1505.7051,"Julio"
"2019",8,1072.9024,"Agosto"
"2019",9,1760.864,"Septiembre"
"2019",10,172.3912,"Octubre"
"2019",11,18.787,"Noviembre"
"2019",12,37.644999999999996,"Diciembre"
"2020",1,6.18,"Enero"
"2020",2,21.5688,"Febrero"
"2020",3,161.16299999999998,"Marzo"
"2020",4,40.19,"Abril"
"2020",5,79.5261,"Mayo"
"2020",6,844.4,"Junio"
"2020",7,1027.308,"Julio"
"2020",8,15959.0373,"Agosto"
"2020",9,372.9901,"Septiembre"
"2020",10,512.8232,"Octubre"
"2020",11,17.965,"Noviembre"
"2020",12,619.5699999999999,"Diciembre"
"2021",1,813.37,"Enero"
"2021",2,708.3359,"Febrero"
"2021",3,14.635299999999999,"Marzo"
"2021",4,15.6933,"Abril"
"2021",5,211.0051,"Mayo"
"2021",6,345.337,"Junio"
"2021",7,2973.9345,"Julio"
"2021",8,1578.6691,"Agosto"
"2021",9,8732.928,"Septiembre"
"2021",10,72.9196,"Octubre"
"2021",11,48.9791,"Noviembre"
"2021",12,131.9909,"Diciembre"
