"Año","Provincia","Duracion_H","Superficie_Hectareas"
"2015","Almería",2.25,0.02
"2015","Almería",46.53333333333333,0.55
"2015","Almería",1.3333333333333333,0.19
"2015","Almería",1.3666666666666667,0.01
"2015","Almería",29.75,3.05
"2015","Almería",8.2,0.13
"2015","Almería",5.166666666666667,2.14
"2015","Almería",8.716666666666667,2.91
"2015","Almería",5.816666666666666,0.1
"2015","Almería",23.683333333333334,18.49
"2015","Almería",89.36666666666666,27.4
"2015","Almería",4.9,0.1
"2015","Almería",3.3,0.46
"2015","Almería",2.15,0.15
"2015","Almería",28.35,0.13
"2015","Almería",16.9,2.28
"2015","Almería",21.6,2.16
"2015","Almería",16.816666666666666,0.26
"2015","Almería",0.7,0.02
"2015","Almería",13.7,3.4
"2015","Almería",3.8333333333333335,0.04
"2015","Almería",2.3666666666666667,0.01
"2015","Almería",1.2833333333333334,0.04
"2015","Almería",5.9,0.28
"2015","Almería",3.65,0.18
"2015","Almería",2.9166666666666665,0.39
"2015","Almería",1.05,0.01
"2015","Almería",8.833333333333334,0.04
"2015","Almería",3.55,0.11
"2015","Almería",2.25,0.01
"2015","Almería",0.8333333333333334,0.01
"2015","Almería",12.45,2.3
"2015","Almería",28.066666666666666,0.02
"2015","Almería",2.2666666666666666,0.01
"2015","Almería",5.466666666666667,0.01
"2015","Almería",26.066666666666666,1.76
"2015","Almería",2.5833333333333335,0.01
"2015","Almería",0.8333333333333334,0.01
"2015","Almería",48.483333333333334,0.85
"2015","Almería",21.166666666666668,0.06
"2015","Almería",2.1666666666666665,0.04
"2015","Almería",20.483333333333334,0.14
"2015","Almería",2.3833333333333333,0.11
"2015","Almería",1.0833333333333333,0.01
"2015","Almería",2.3833333333333333,0.03
"2015","Almería",0.48333333333333334,0.01
"2015","Almería",4.6,0.4
"2015","Almería",2.0833333333333335,0.08
"2015","Almería",13.6,1.6
"2015","Almería",2.5,0.21
"2015","Almería",2.8333333333333335,0.01
"2015","Almería",19.5,0.01
"2015","Almería",2.0833333333333335,0.02
"2015","Almería",63.61666666666667,0.01
"2015","Almería",63.06666666666667,0.01
"2015","Almería",2.9833333333333334,0.04
"2015","Almería",2.033333333333333,0.01
"2015","Almería",38.9,1.07
"2015","Almería",65.75,0.01
"2015","Almería",1.4833333333333334,0.03
"2015","Almería",1.5666666666666667,0.64
"2015","Almería",4.5,0.17
"2015","Almería",131.21666666666667,0.01
"2015","Almería",2.533333333333333,0.08
"2015","Almería",4.666666666666667,0.07
"2015","Cádiz",15.966666666666667,2.22
