Campania,Provincia,Municipio,ComarcaIsla,SuperficieTotalForestal,AfectoEspacioProtegido
2015,Almería,NÍJAR,ALMERÍA,0.02,Si
2015,Almería,MOJÁCAR,LEVANTE ALMERIENSE,0.55,No
2015,Almería,SERÓN,SIERRA DE FILABRES,0.19,No
2015,Almería,VÉLEZ-BLANCO,LOS VELEZ,0.01,No
2015,Almería,"EJIDO, EL",PONIENTE ALMERIENSE,3.05,No
2015,Almería,TURRE,LEVANTE ALMERIENSE,0.13,Si
2015,Almería,BÉDAR,LEVANTE ALMERIENSE,2.14,Si
2015,Almería,BÉDAR,LEVANTE ALMERIENSE,2.91,No
2015,Almería,PECHINA,ALMERÍA,0.1,Si
2015,Almería,HUÉRCA-OVERA,LEVANTE ALMERIENSE,18.49,No
2015,Almería,HUÉRCA-OVERA,LEVANTE ALMERIENSE,27.4,No
2015,Almería,HUÉRCA-OVERA,LEVANTE ALMERIENSE,0.1,No
2015,Almería,"TRES VILLAS, LAS",SIERRA NEVADA  (AL),0.46,No
2015,Almería,ALCOLEA,ALPUJARRA ALMERIENSE,0.15,No
2015,Almería,ABRUCENA,SIERRA NEVADA  (AL),0.13,No
2015,Almería,DALÍAS,PONIENTE ALMERIENSE,2.28,No
2015,Almería,FELIX,PONIENTE ALMERIENSE,2.16,No
2015,Almería,ADRA,PONIENTE ALMERIENSE,0.26,No
2015,Almería,ABLA,SIERRA NEVADA  (AL),0.02,Si
2015,Almería,CASTRO DE FILABRES,SIERRA DE FILABRES,3.4,No
2015,Almería,MARÍA,LOS VELEZ,0.04,Si
2015,Almería,"TRES VILLAS, LAS",SIERRA NEVADA  (AL),0.01,No
2015,Almería,"EJIDO, EL",PONIENTE ALMERIENSE,0.04,No
2015,Almería,SORBAS,LEVANTE ALMERIENSE,0.28,Si
2015,Almería,"GALLARDOS, LOS",LEVANTE ALMERIENSE,0.18,No
2015,Almería,ADRA,PONIENTE ALMERIENSE,0.39,No
2015,Almería,GÁDOR,ALMERÍA,0.01,Si
2015,Almería,SENÉS,SIERRA DE FILABRES,0.04,No
2015,Almería,ENIX,PONIENTE ALMERIENSE,0.11,Si
2015,Almería,CANJÁYAR,SIERRA NEVADA  (AL),0.01,Si
2015,Almería,NÍJAR,ALMERÍA,0.01,No
2015,Almería,FONDÓN,SIERRA NEVADA  (AL),2.3,Si
2015,Almería,ADRA,PONIENTE ALMERIENSE,0.02,No
2015,Almería,NACIMIENTO,SIERRA NEVADA  (AL),0.01,No
2015,Almería,GÁDOR,ALMERÍA,0.01,No
2015,Almería,CANTORIA,SIERRA DE FILABRES,1.76,No
2015,Almería,ADRA,PONIENTE ALMERIENSE,0.01,No
2015,Almería,NÍJAR,ALMERÍA,0.01,No
2015,Almería,TAHAL,SIERRA DE FILABRES,0.85,No
2015,Almería,MOJÁCAR,LEVANTE ALMERIENSE,0.06,Si
2015,Almería,NACIMIENTO,SIERRA NEVADA  (AL),0.04,No
2015,Almería,"GALLARDOS, LOS",LEVANTE ALMERIENSE,0.14,No
2015,Almería,TURRE,LEVANTE ALMERIENSE,0.11,No
2015,Almería,ADRA,PONIENTE ALMERIENSE,0.01,No
2015,Almería,LUBRÍN,LEVANTE ALMERIENSE,0.03,No
2015,Almería,NÍJAR,ALMERÍA,0.01,Si
2015,Almería,MOJÁCAR,LEVANTE ALMERIENSE,0.4,No
2015,Almería,CUEVAS DEL ALMANZORA,LEVANTE ALMERIENSE,0.08,No
2015,Almería,ADRA,PONIENTE ALMERIENSE,1.6,No
2015,Almería,DALÍAS,PONIENTE ALMERIENSE,0.21,No
2015,Almería,ALHAMA DE ALMERÍA,ALPUJARRA ALMERIENSE,0.01,No
2015,Almería,ALHAMA DE ALMERÍA,ALPUJARRA ALMERIENSE,0.01,No
2015,Almería,ADRA,PONIENTE ALMERIENSE,0.02,No
2015,Almería,ABLA,SIERRA NEVADA  (AL),0.01,No
2015,Almería,GÉRGAL,SIERRA DE FILABRES,0.01,No
2015,Almería,FELIX,PONIENTE ALMERIENSE,0.04,No
2015,Almería,LÁUJAR DE ANDARAX,SIERRA NEVADA  (AL),0.01,Si
2015,Almería,PECHINA,ALMERÍA,1.07,Si
2015,Almería,ALCOLEA,ALPUJARRA ALMERIENSE,0.01,No
2015,Almería,ALCOLEA,ALPUJARRA ALMERIENSE,0.03,No
2015,Almería,NÍJAR,ALMERÍA,0.64,Si
2015,Almería,TERQUE,ALPUJARRA ALMERIENSE,0.17,Si
2015,Almería,HUÉRCAL DE ALMERÍA,ALMERÍA,0.01,No
2015,Almería,FONDÓN,SIERRA NEVADA  (AL),0.08,Si
2015,Almería,GÁDOR,ALMERÍA,0.07,No
2015,Cádiz,SAN ROQUE,CAMPO DE GIBRALTAR,2.22,Si
2015,Cádiz,ALGODONALES,SIERRA DE CADIZ,0.02,No
2015,Cádiz,TARIFA,CAMPO DE GIBRALTAR,0.06,Si
2015,Cádiz,VEJER DE LA FRONTERA,LA JANDA,0.01,No
2015,Cádiz,SAN ROQUE,CAMPO DE GIBRALTAR,0.06,No
2015,Cádiz,JIMENA DE LA FRONTERA,CAMPO DE GIBRALTAR,2.42,Si
2015,Cádiz,JEREZ DE LA FRONTERA,CAMPIDA DE JEREZ,0.15,Si
2015,Cádiz,"BARRIOS, LOS",CAMPO DE GIBRALTAR,1.62,Si
2015,Cádiz,PUERTO REAL,BAHIA DE CADIZ,0.01,Si
2015,Cádiz,"BARRIOS, LOS",CAMPO DE GIBRALTAR,0.04,No
2015,Cádiz,"BARRIOS, LOS",CAMPO DE GIBRALTAR,0.7,Si
2015,Cádiz,CONIL DE LA FRONTERA,LA JANDA,0.09,No
2015,Cádiz,BARBATE,LA JANDA,0.01,No
2015,Cádiz,CONIL DE LA FRONTERA,LA JANDA,0.01,Si
2015,Cádiz,JIMENA DE LA FRONTERA,CAMPO DE GIBRALTAR,0.01,Si
2015,Cádiz,SAN ROQUE,CAMPO DE GIBRALTAR,0.07,No
2015,Cádiz,ALGODONALES,SIERRA DE CADIZ,0.18,No
2015,Cádiz,JEREZ DE LA FRONTERA,CAMPIDA DE JEREZ,0.48,No
2015,Cádiz,CASTELLAR DE LA FRONTERA,CAMPO DE GIBRALTAR,0.01,Si
2015,Cádiz,JEREZ DE LA FRONTERA,CAMPIDA DE JEREZ,0.08,No
2015,Cádiz,VEJER DE LA FRONTERA,LA JANDA,0.25,No
2015,Cádiz,UBRIQUE,SIERRA DE CADIZ,0.3,Si
2015,Cádiz,ARCOS DE LA FRONTERA,SIERRA DE CADIZ,0.02,No
2015,Cádiz,SAN ROQUE,CAMPO DE GIBRALTAR,0.3,No
2015,Cádiz,"PUERTO SANTA MARIA, EL",BAHIA DE CADIZ,0.1,No
2015,Cádiz,MEDINA-SIDONIA,LA JANDA,0.07,No
2015,Cádiz,PUERTO REAL,BAHIA DE CADIZ,0.01,No
2015,Cádiz,BARBATE,LA JANDA,0.01,Si
2015,Cádiz,SAN ROQUE,CAMPO DE GIBRALTAR,134.12,No
2015,Cádiz,CONIL DE LA FRONTERA,LA JANDA,0.02,No
2015,Cádiz,PUERTO SERRANO,SIERRA DE CADIZ,0.01,No
2015,Cádiz,"BARRIOS, LOS",CAMPO DE GIBRALTAR,53.37,Si
2015,Cádiz,BORNOS,SIERRA DE CADIZ,0.77,No
2015,Cádiz,ALCALÁ  DE LOS GAZULES,LA JANDA,0.01,No
2015,Cádiz,VILLAMARTÍN,SIERRA DE CADIZ,0.22,No
2015,Cádiz,SAN ROQUE,CAMPO DE GIBRALTAR,0.63,No
2015,Cádiz,SAN ROQUE,CAMPO DE GIBRALTAR,0.91,No
2015,Cádiz,UBRIQUE,SIERRA DE CADIZ,0.03,Si
2015,Cádiz,BARBATE,LA JANDA,0.01,Si
2015,Cádiz,SETENIL DE LAS BODEGAS,SIERRA DE CADIZ,0.41,No
2015,Cádiz,ALGECIRAS,CAMPO DE GIBRALTAR,2.86,No
2015,Cádiz,BARBATE,LA JANDA,0.1,No
2015,Cádiz,JIMENA DE LA FRONTERA,CAMPO DE GIBRALTAR,0.46,Si
2015,Cádiz,VILLAMARTÍN,SIERRA DE CADIZ,1.41,No
2015,Cádiz,PUERTO REAL,BAHIA DE CADIZ,0.4,No
2015,Cádiz,SAN ROQUE,CAMPO DE GIBRALTAR,130.64,No
2015,Cádiz,BARBATE,LA JANDA,0.29,Si
2015,Cádiz,TARIFA,CAMPO DE GIBRALTAR,15.26,Si
2015,Cádiz,ARCOS DE LA FRONTERA,SIERRA DE CADIZ,3.62,No
2015,Cádiz,VILLAMARTÍN,SIERRA DE CADIZ,0.46,No
2015,Cádiz,BARBATE,LA JANDA,0.03,Si
2015,Cádiz,TARIFA,CAMPO DE GIBRALTAR,0.07,No
2015,Cádiz,PUERTO SERRANO,SIERRA DE CADIZ,0.01,No
2015,Cádiz,BARBATE,LA JANDA,0.01,Si
2015,Cádiz,"BARRIOS, LOS",CAMPO DE GIBRALTAR,1.32,Si
2015,Cádiz,ARCOS DE LA FRONTERA,SIERRA DE CADIZ,0.14,No
2015,Cádiz,SAN ROQUE,CAMPO DE GIBRALTAR,0.01,No
2015,Cádiz,VILLAMARTÍN,SIERRA DE CADIZ,0.86,No
2015,Cádiz,BARBATE,LA JANDA,0.01,Si
2015,Cádiz,"PUERTO SANTA MARIA, EL",BAHIA DE CADIZ,0.12,No
2015,Cádiz,BARBATE,LA JANDA,0.01,Si
2015,Cádiz,ARCOS DE LA FRONTERA,SIERRA DE CADIZ,1.15,No
2015,Cádiz,PUERTO REAL,BAHIA DE CADIZ,0.01,No
2015,Cádiz,ALCALÁ  DE LOS GAZULES,LA JANDA,0.01,No
2015,Cádiz,TARIFA,CAMPO DE GIBRALTAR,0.26,No
2015,Cádiz,JIMENA DE LA FRONTERA,CAMPO DE GIBRALTAR,0.01,Si
2015,Cádiz,PUERTO REAL,BAHIA DE CADIZ,12.2,No
2015,Córdoba,MONTORO,ALTO GUADALQUIVIR,0.03,Si
2015,Córdoba,PUENTE GENIL,SUB-BETICA,0.15,No
2015,Córdoba,ALCARACEJOS,VALLE DE LOS PEDROCHES,10.06,No
2015,Córdoba,VILLAVICIOSA DE CÓRDOBA,VALLE DEL GUADIATO,0.01,Si
2015,Córdoba,RUTE,SUB-BETICA,0.05,Si
2015,Córdoba,PALENCIANA,SUB-BETICA,1.6,No
2015,Córdoba,CABRA,SUB-BETICA,0.28,No
2015,Córdoba,ESPIEL,VALLE DEL GUADIATO,39.39,No
2015,Córdoba,PRIEGO DE CÓRDOBA,SUB-BETICA,0.12,No
2015,Córdoba,CÓRDOBA,CORDOBA,0.02,No
2015,Córdoba,POSADAS,VALLE MEDIO DEL GUADALQUIVIR,0.95,Si
2015,Córdoba,OBEJO,VALLE DEL GUADIATO,0.01,No
2015,Córdoba,VILLAVICIOSA DE CÓRDOBA,VALLE DEL GUADIATO,0.01,Si
2015,Córdoba,CÓRDOBA,CORDOBA,0.8,No
2015,Córdoba,ALMODÓVAR DEL RÍO,VALLE MEDIO DEL GUADALQUIVIR,0.55,Si
2015,Córdoba,RUTE,SUB-BETICA,0.32,No
2015,Córdoba,CARDEÑA,VALLE DE LOS PEDROCHES,0.26,Si
2015,Córdoba,CÓRDOBA,CORDOBA,2.54,No
2015,Córdoba,BAENA,SUB-BETICA,1.54,No
2015,Córdoba,PEDRO ABAD,ALTO GUADALQUIVIR,0.01,No
2015,Córdoba,CÓRDOBA,CORDOBA,0.01,No
2015,Córdoba,FUENTE OBEJUNA,VALLE DEL GUADIATO,6.14,No
2015,Córdoba,CÓRDOBA,CORDOBA,2.54,Si
2015,Córdoba,VILLANUEVA DEL REY,VALLE DEL GUADIATO,0.47,No
